Platform,Publisher
Wii,Nintendo
NES,Nintendo
GB,Nintendo
DS,Nintendo
SNES,Nintendo
GBA,Nintendo
3DS,Nintendo
N64,Nintendo
Wii,Ubisoft
Wii,Sega
GC,Nintendo
WiiU,Nintendo
Wii,505 Games
PS3,Ubisoft
GEN,Sega
Wii,LucasArts
DS,505 Games
X360,Ubisoft
DS,Sega
DS,LucasArts
