Platform,Publisher
X360,Activision
PS4,Activision
PS3,Activision
PS,Sony Computer Entertainment
PS3,Sony Computer Entertainment
PS,SquareSoft
XOne,Activision
PC,Activision
PS,GT Interactive
PS3,Konami Digital Entertainment
PS,Konami Digital Entertainment
PS,Virgin Interactive
PS,Eidos Interactive
PS,Activision
